Dim_1,Dim_2
8.850465,3.8406854
8.856317,3.8191795
8.851243,3.827374
-0.53859115,19.328453
2.8607786,8.064309
8.831693,3.790221
8.896567,3.810742
-9.582243,17.201557
9.142083,3.7979536
8.882974,3.8001246
-9.366895,17.493233
8.902696,3.797975
-9.380087,17.469297
8.866795,3.8119278
2.8768306,8.045115
8.914078,3.801843
8.900112,3.80481
8.948814,3.816519
8.927629,3.7636116
2.8421986,8.07196
8.9199915,3.7982829
8.919191,3.8010411
8.958645,3.7740834
2.8495722,8.09606
2.8408093,8.077317
-9.375114,17.355778
-0.6371963,19.204536
-0.7616351,19.109192
-0.7420355,19.138159
-0.7975613,19.103807
-0.77730024,19.092625
-9.455676,17.212803
-9.5201,17.144909
-0.8039809,19.10046
-9.469253,17.248459
-0.62544996,19.216236
-0.5252581,19.257212
-9.547218,17.192255
-0.65493196,19.145552
-9.48593,17.48105
-0.44954205,19.212778
-0.46973103,19.2088
-0.44126055,19.187794
-9.510548,17.572916
-9.610803,17.620253
-9.587055,17.488588
8.914223,4.105687
-9.500079,17.52031
-0.33050177,19.186672
-0.6276473,19.136646
-0.43162775,19.225788
-0.38370538,19.174067
2.900858,8.037874
-0.39427352,19.244099
-9.489033,17.50434
-9.496163,17.511425
-9.561153,17.612885
-9.572546,17.578129
-9.533832,17.583427
2.8823652,8.059528
-9.560126,17.598064
-0.4210446,19.200653
-9.5217495,17.534975
-0.35523176,19.274357
-9.568498,17.645939
-0.35577515,19.203512
-9.561148,17.612982
-9.686216,17.658112
-9.650752,17.704315
-9.673842,17.726158
-9.65378,17.70667
-9.674211,17.725128
8.937023,4.0996943
-9.723725,17.784166
-9.652412,17.67991
-0.3623108,19.205906
2.8950868,8.047922
-9.590071,17.644314
-9.499626,17.536606
2.9126267,8.038508
-9.532045,17.57923
-9.586103,17.655807
-9.533964,17.589016
-9.494872,17.546755
-0.37574613,19.203646
-9.549831,17.568829
-0.43315288,19.185526
-0.3441226,19.19906
-0.60339975,19.198402
-0.4132909,19.279356
2.8797052,8.068496
-0.36043474,19.20833
-0.3948316,19.233442
8.910248,4.068447
-9.453035,17.53709
-9.462607,17.559998
-9.434185,17.521479
8.967123,4.099691
-9.447249,17.5257
-9.445166,17.56371
-9.450476,17.506134
-9.425755,17.575836
-9.475638,17.501247
-0.43664077,19.242725
-0.39921787,19.19344
-0.4883274,19.2896
-9.418301,17.542448
8.848076,3.8189409
8.872527,3.8588338
8.916391,3.8779192
9.023335,3.9825873
8.970872,3.8571606
8.970142,3.8708026
9.0312605,3.8593528
8.962563,3.9161959
9.066898,3.9182894
9.001083,3.8902638
-9.3288,17.437727
8.978897,3.7960708
9.031391,3.7983105
9.014841,3.7699533
9.119803,3.7418342
9.250658,3.689643
9.219049,3.6962132
9.51233,3.5087812
9.362059,3.617124
9.175862,3.7265663
9.112795,3.757719
9.095083,3.7513874
9.562216,3.4997964
9.449069,3.5543196
9.599327,3.4478662
9.571809,3.4296234
9.595313,3.4393864
9.562862,3.4797711
9.576061,3.4525406
9.608621,3.3818111
9.548865,3.3637836
9.606616,3.3258905
9.658806,3.32
9.611514,3.3679368
2.75186,8.159578
9.611953,3.3917751
9.6065235,3.3425364
9.600094,3.3524926
9.590871,3.2954164
9.587603,3.3577015
9.626834,3.3532937
9.74914,3.259899
9.88199,3.1629019
4.1091733,-11.959699
